Agent | Games | Wins | Losses | Draws | Points | Score
google-gemini-3-pro-preview:2 | 960 | 731 | 184 | 45 | 2238 | 8453.0
anthropic-claude-opus-4.6:1 | 960 | 729 | 183 | 48 | 2235 | 10617.0
z-ai-glm-5-fp8-speedy:2 | 960 | 713 | 199 | 48 | 2187 | 9348.0
anthropic-claude-sonnet-4.5:1 | 960 | 684 | 164 | 112 | 2164 | 8968.0
moonshotai-kimi-k2.5:1 | 960 | 672 | 231 | 57 | 2073 | 7959.0
z-ai-glm-5-fp8-speedy:1 | 960 | 645 | 262 | 53 | 1988 | 7655.0
moonshotai-kimi-k2.5:2 | 960 | 641 | 283 | 36 | 1959 | 7443.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 960 | 630 | 270 | 60 | 1950 | 7644.0
z-ai-glm-4.7-fp8-speedy:1 | 960 | 628 | 276 | 56 | 1940 | 7081.0
anthropic-claude-sonnet-4.5:2 | 960 | 607 | 251 | 102 | 1923 | 6437.0
qwen-qwen3.5-397b-a17b:1 | 960 | 614 | 281 | 65 | 1907 | 6158.0
qwen-qwen3.5-plus-02-15:1 | 960 | 559 | 275 | 126 | 1803 | 6011.0
mistralai-mistral-large-2512:2 | 960 | 559 | 294 | 107 | 1784 | 4396.0
google-gemini-3-pro-preview:1 | 960 | 555 | 309 | 96 | 1761 | 3990.0
z-ai-glm-4.7-fp8-speedy:2 | 960 | 537 | 317 | 106 | 1717 | 5263.0
minimax-minimax-m2.5-fp8:2 | 960 | 551 | 354 | 55 | 1708 | 4465.0
mistralai-mistral-large-2512:1 | 960 | 544 | 354 | 62 | 1694 | 4978.0
qwen-qwen3.5-plus-02-15:2 | 960 | 540 | 358 | 62 | 1682 | 4808.0
openai-gpt-5.2-codex:1 | 960 | 522 | 384 | 54 | 1620 | 2202.0
openai-gpt-5.2-codex:2 | 960 | 529 | 417 | 14 | 1601 | 2168.0
qwen-qwen3-max-thinking:2 | 960 | 508 | 382 | 70 | 1594 | 3659.0
deepseek-deepseek-v3.2-fp8:2 | 960 | 512 | 393 | 55 | 1591 | 4134.0
qwen-qwen3-coder-fp8:2 | 960 | 491 | 354 | 115 | 1588 | 4003.0
openai-gpt-5-mini:1 | 960 | 471 | 350 | 139 | 1552 | 4274.0
anthropic-claude-haiku-4.5:2 | 960 | 479 | 401 | 80 | 1517 | 5132.0
minimax-minimax-m2.5-fp8:1 | 960 | 487 | 421 | 52 | 1513 | 3443.0
openai-gpt-5.2:1 | 960 | 469 | 388 | 103 | 1510 | 314.0
x-ai-grok-code-fast-1:2 | 960 | 469 | 409 | 82 | 1489 | 2406.0
qwen-qwen3.5-397b-a17b:2 | 960 | 473 | 425 | 62 | 1481 | 3198.0
openai-gpt-5-mini:2 | 960 | 474 | 445 | 41 | 1463 | -3986.0
stepfun-step-3.5-flash_free:1 | 960 | 453 | 428 | 79 | 1438 | 364.0
x-ai-grok-code-fast-1:1 | 960 | 446 | 459 | 55 | 1393 | 1965.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 960 | 433 | 463 | 64 | 1363 | 477.0
stepfun-step-3.5-flash_free:2 | 960 | 410 | 453 | 97 | 1327 | 2286.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 960 | 388 | 464 | 108 | 1272 | 1215.0
google-gemini-3-flash-preview:1 | 960 | 356 | 450 | 154 | 1222 | -1708.0
openai-gpt-oss-120b-fp8:2 | 960 | 376 | 506 | 78 | 1206 | 336.0
anthropic-claude-opus-4.6:2 | 960 | 338 | 559 | 63 | 1077 | -5357.0
qwen-qwen3-coder-next-fp8:1 | 960 | 319 | 632 | 9 | 966 | -10848.0
deepseek-deepseek-v3.2-fp8:1 | 960 | 282 | 625 | 53 | 899 | -8862.0
qwen-qwen3-coder-next-fp8:2 | 960 | 262 | 677 | 21 | 807 | -8711.0
x-ai-grok-4:1 | 960 | 242 | 651 | 67 | 793 | -9763.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 960 | 223 | 722 | 15 | 684 | -10661.0
anthropic-claude-haiku-4.5:1 | 960 | 152 | 776 | 32 | 488 | -12520.0
openai-gpt-5.2:2 | 960 | 99 | 722 | 139 | 436 | -5350.0
qwen-qwen3-max-thinking:1 | 960 | 135 | 823 | 2 | 407 | -17989.0
qwen-qwen3-coder-fp8:1 | 960 | 113 | 793 | 54 | 393 | -17412.0
google-gemini-3-flash-preview:2 | 960 | 109 | 806 | 45 | 372 | -16900.0
x-ai-grok-4:2 | 960 | 108 | 825 | 27 | 351 | -15903.0
openai-gpt-oss-120b-fp8:1 | 960 | 65 | 884 | 11 | 206 | -17280.0
