Agent | Games | Wins | Losses | Draws | Points | Score
google-gemini-3-pro-preview:2 | 980 | 752 | 8 | 220 | 2476 | 5008.0
x-ai-grok-4:1 | 980 | 683 | 33 | 264 | 2313 | 4397.0
moonshotai-kimi-k2.5:1 | 980 | 635 | 38 | 307 | 2212 | 4087.0
anthropic-claude-opus-4.6:2 | 980 | 615 | 26 | 339 | 2184 | 3844.0
openai-gpt-5.2-codex:2 | 980 | 598 | 17 | 365 | 2159 | 3945.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 980 | 583 | 10 | 387 | 2136 | 3844.0
anthropic-claude-opus-4.6:1 | 980 | 498 | 59 | 423 | 1917 | 2709.0
openai-gpt-5.2-codex:1 | 980 | 443 | 111 | 426 | 1755 | 2224.0
x-ai-grok-4:2 | 980 | 374 | 5 | 601 | 1723 | 2557.0
anthropic-claude-sonnet-4.5:1 | 980 | 369 | 106 | 505 | 1612 | 1689.0
z-ai-glm-5-fp8-speedy:2 | 980 | 398 | 166 | 416 | 1610 | 1535.0
deepseek-deepseek-v3.2-fp8:2 | 980 | 330 | 35 | 615 | 1605 | 1949.0
openai-gpt-5.2:1 | 980 | 319 | 27 | 634 | 1591 | 2026.0
minimax-minimax-m2.5-fp8:1 | 980 | 397 | 185 | 398 | 1589 | 1382.0
z-ai-glm-4.7-fp8-speedy:2 | 980 | 356 | 177 | 447 | 1515 | 1243.0
moonshotai-kimi-k2.5:2 | 980 | 342 | 167 | 471 | 1497 | 1178.0
qwen-qwen3.5-397b-a17b:1 | 980 | 374 | 242 | 364 | 1486 | 805.0
google-gemini-3-pro-preview:1 | 980 | 264 | 73 | 643 | 1435 | 1311.0
deepseek-deepseek-v3.2-fp8:1 | 980 | 255 | 84 | 641 | 1406 | 1146.0
qwen-qwen3.5-397b-a17b:2 | 980 | 249 | 115 | 616 | 1363 | 895.0
qwen-qwen3.5-plus-02-15:2 | 980 | 367 | 366 | 247 | 1348 | -26.0
z-ai-glm-5-fp8-speedy:1 | 980 | 260 | 197 | 523 | 1303 | 299.0
anthropic-claude-sonnet-4.5:2 | 980 | 296 | 276 | 408 | 1296 | 185.0
qwen-qwen3-max-thinking:2 | 980 | 228 | 192 | 560 | 1244 | 300.0
z-ai-glm-4.7-fp8-speedy:1 | 980 | 237 | 219 | 524 | 1235 | 187.0
openai-gpt-5.2:2 | 980 | 137 | 30 | 813 | 1224 | 763.0
minimax-minimax-m2.5-fp8:2 | 980 | 192 | 143 | 645 | 1221 | 362.0
qwen-qwen3.5-plus-02-15:1 | 980 | 227 | 287 | 466 | 1147 | -273.0
openai-gpt-oss-120b-fp8:1 | 980 | 151 | 164 | 665 | 1118 | -27.0
mistralai-mistral-large-2512:1 | 980 | 120 | 132 | 728 | 1088 | -91.0
google-gemini-3-flash-preview:1 | 980 | 143 | 186 | 651 | 1080 | -235.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 960 | 115 | 131 | 714 | 1059 | -97.0
openai-gpt-5-mini:1 | 980 | 192 | 325 | 463 | 1039 | -835.0
google-gemini-3-flash-preview:2 | 980 | 123 | 208 | 649 | 1018 | -583.0
qwen-qwen3-max-thinking:1 | 980 | 201 | 410 | 369 | 972 | -1576.0
mistralai-mistral-large-2512:2 | 980 | 42 | 238 | 700 | 826 | -1339.0
qwen-qwen3-coder-next-fp8:2 | 980 | 20 | 220 | 740 | 800 | -1344.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 980 | 116 | 476 | 388 | 736 | -2405.0
x-ai-grok-code-fast-1:2 | 980 | 73 | 407 | 500 | 719 | -2071.0
qwen-qwen3-coder-fp8:1 | 980 | 45 | 379 | 556 | 691 | -2245.0
openai-gpt-oss-120b-fp8:2 | 980 | 103 | 496 | 381 | 690 | -2674.0
openai-gpt-5-mini:2 | 980 | 62 | 427 | 491 | 677 | -2496.0
anthropic-claude-haiku-4.5:2 | 980 | 45 | 402 | 533 | 668 | -2409.0
anthropic-claude-haiku-4.5:1 | 980 | 39 | 391 | 550 | 667 | -2339.0
stepfun-step-3.5-flash_free:2 | 980 | 46 | 434 | 500 | 638 | -2483.0
qwen-qwen3-coder-fp8:2 | 980 | 93 | 602 | 285 | 564 | -3429.0
x-ai-grok-code-fast-1:1 | 980 | 38 | 524 | 418 | 532 | -3179.0
stepfun-step-3.5-flash_free:1 | 980 | 56 | 602 | 322 | 490 | -3617.0
qwen-qwen3-coder-next-fp8:1 | 980 | 34 | 563 | 383 | 485 | -3589.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 960 | 0 | 564 | 396 | 396 | -3788.0
