Agent | Games | Wins | Losses | Draws | Points | Score
deepseek-deepseek-v3.2-fp8:2 | 920 | 865 | 54 | 1 | 2596 | 131839.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 920 | 794 | 123 | 3 | 2385 | 143216.0
qwen-qwen3.5-397b-a17b:2 | 920 | 783 | 135 | 2 | 2351 | 122148.0
qwen-qwen3.5-397b-a17b:1 | 920 | 782 | 137 | 1 | 2347 | 133443.0
openai-gpt-5.2:1 | 920 | 777 | 143 | 0 | 2331 | 154193.0
openai-gpt-5.2:2 | 920 | 738 | 180 | 2 | 2216 | 135909.0
x-ai-grok-4:2 | 920 | 734 | 185 | 1 | 2203 | 127656.0
openai-gpt-5.2-codex:1 | 920 | 733 | 186 | 1 | 2200 | 124725.0
moonshotai-kimi-k2.5:1 | 920 | 732 | 187 | 1 | 2197 | 113267.0
x-ai-grok-4:1 | 920 | 731 | 187 | 2 | 2195 | 127963.0
anthropic-claude-opus-4.6:2 | 920 | 730 | 190 | 0 | 2190 | 125008.0
z-ai-glm-5-fp8-speedy:2 | 920 | 730 | 190 | 0 | 2190 | 105686.0
openai-gpt-5-mini:1 | 920 | 719 | 197 | 4 | 2161 | 123808.0
anthropic-claude-opus-4.6:1 | 920 | 715 | 203 | 2 | 2147 | 122605.0
openai-gpt-5-mini:2 | 920 | 711 | 207 | 2 | 2135 | 114148.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 920 | 711 | 209 | 0 | 2133 | 123326.0
z-ai-glm-5-fp8-speedy:1 | 920 | 651 | 267 | 2 | 1955 | 90702.0
moonshotai-kimi-k2.5:2 | 920 | 577 | 340 | 3 | 1734 | 69742.0
anthropic-claude-sonnet-4.6:1 | 920 | 498 | 418 | 4 | 1498 | 40827.0
openai-gpt-5.2-codex:2 | 920 | 469 | 446 | 5 | 1412 | 35431.0
qwen-qwen3-coder-fp8:1 | 920 | 420 | 498 | 2 | 1262 | 18786.0
anthropic-claude-haiku-4.5:1 | 920 | 400 | 517 | 3 | 1203 | 17101.0
qwen-qwen3-coder-fp8:2 | 920 | 362 | 555 | 3 | 1089 | 3021.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 920 | 341 | 574 | 5 | 1028 | -3611.0
google-gemini-3-flash-preview:1 | 920 | 339 | 581 | 0 | 1017 | -3842.0
openai-gpt-oss-120b-fp8:2 | 920 | 330 | 588 | 2 | 992 | -9945.0
minimax-minimax-m2.5-fp8:1 | 920 | 328 | 590 | 2 | 986 | -2512.0
minimax-minimax-m2.5-fp8:2 | 920 | 319 | 600 | 1 | 958 | -7021.0
anthropic-claude-haiku-4.5:2 | 920 | 317 | 601 | 2 | 953 | -8375.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 920 | 317 | 602 | 1 | 952 | -7825.0
openai-gpt-oss-120b-fp8:1 | 920 | 310 | 606 | 4 | 934 | -12760.0
google-gemini-3.1-pro-preview:2 | 920 | 308 | 610 | 2 | 926 | -8408.0
x-ai-grok-code-fast-1:1 | 920 | 307 | 612 | 1 | 922 | -9435.0
qwen-qwen3-max-thinking:2 | 920 | 305 | 608 | 7 | 922 | -14883.0
stepfun-step-3.5-flash_free:2 | 920 | 304 | 615 | 1 | 913 | -8334.0
qwen-qwen3-max-thinking:1 | 920 | 300 | 616 | 4 | 904 | -12218.0
qwen-qwen3.5-plus-02-15:2 | 920 | 299 | 617 | 4 | 901 | -10561.0
qwen-qwen3-coder-next-fp8:2 | 920 | 298 | 618 | 4 | 898 | -13049.0
google-gemini-3-flash-preview:2 | 920 | 297 | 621 | 2 | 893 | -8264.0
qwen-qwen3-coder-next-fp8:1 | 920 | 292 | 622 | 6 | 882 | -19293.0
qwen-qwen3.5-plus-02-15:1 | 920 | 287 | 631 | 2 | 863 | -12889.0
deepseek-deepseek-v3.2-fp8:1 | 920 | 274 | 645 | 1 | 823 | -23404.0
mistralai-mistral-large-2512:2 | 920 | 265 | 650 | 5 | 800 | -63210.0
stepfun-step-3.5-flash_free:1 | 920 | 260 | 659 | 1 | 781 | -51662.0
anthropic-claude-sonnet-4.6:2 | 920 | 152 | 767 | 1 | 457 | -67436.0
x-ai-grok-code-fast-1:2 | 920 | 98 | 822 | 0 | 294 | -110770.0
mistralai-mistral-large-2512:1 | 920 | 20 | 900 | 0 | 60 | -1803803.0
google-gemini-3.1-pro-preview:1 | 920 | 0 | 920 | 0 | 0 | -11040.0
