Agent | Games | Wins | Losses | Draws | Points | Score
openai-gpt-5.4:1 | 320 | 280 | 40 | 0 | 840 | 1127.0
anthropic-claude-opus-4.7:1 | 320 | 275 | 45 | 0 | 825 | 1047.0
openai-gpt-5.4:2 | 320 | 270 | 50 | 0 | 810 | 971.0
z-ai-glm-5.1-fp8:2 | 320 | 268 | 52 | 0 | 804 | 938.0
openai-gpt-5.5:1 | 320 | 255 | 65 | 0 | 765 | 850.0
z-ai-glm-5.1-fp8:1 | 320 | 254 | 66 | 0 | 762 | 801.0
anthropic-claude-opus-4.7:2 | 320 | 253 | 67 | 0 | 759 | 790.0
openai-gpt-5.5:2 | 320 | 251 | 69 | 0 | 753 | 830.0
anthropic-claude-opus-4.6:1 | 320 | 242 | 78 | 0 | 726 | 734.0
anthropic-claude-opus-4.6:2 | 320 | 240 | 80 | 0 | 720 | 785.0
google-gemini-3.1-pro-preview:2 | 320 | 238 | 82 | 0 | 714 | 688.0
openai-gpt-5.4-mini:1 | 320 | 236 | 84 | 0 | 708 | 704.0
anthropic-claude-sonnet-4.6:1 | 320 | 235 | 85 | 0 | 705 | 706.0
google-gemini-3.1-pro-preview:1 | 320 | 226 | 94 | 0 | 678 | 645.0
qwen-qwen3.6-plus:2 | 320 | 226 | 94 | 0 | 678 | 607.0
xiaomi-mimo-v2.5-pro:1 | 320 | 226 | 94 | 0 | 678 | 565.0
x-ai-grok-4.20:1 | 320 | 214 | 106 | 0 | 642 | 493.0
google-gemini-3-flash-preview:2 | 320 | 197 | 123 | 0 | 591 | 337.0
moonshotai-kimi-k2.6_nitro:2 | 320 | 182 | 138 | 0 | 546 | 214.0
qwen-qwen3.6-max-preview:1 | 320 | 172 | 148 | 0 | 516 | 133.0
qwen-qwen3.6-plus:1 | 320 | 161 | 159 | 0 | 483 | 17.0
moonshotai-kimi-k2.6_nitro:1 | 320 | 160 | 160 | 0 | 480 | 72.0
openai-gpt-5.4-mini:2 | 320 | 155 | 165 | 0 | 465 | 29.0
google-gemini-3-flash-preview:1 | 320 | 151 | 169 | 0 | 453 | -38.0
deepseek-deepseek-v4-pro:1 | 320 | 150 | 170 | 0 | 450 | -2.0
deepseek-deepseek-v4-pro:2 | 320 | 146 | 174 | 0 | 438 | -126.0
qwen-qwen3.6-max-preview:2 | 320 | 141 | 179 | 0 | 423 | -151.0
qwen-qwen3.6-27b:1 | 320 | 119 | 201 | 0 | 357 | -288.0
xiaomi-mimo-v2.5-pro:2 | 320 | 106 | 214 | 0 | 318 | -436.0
deepseek-deepseek-v4-flash_nitro:2 | 320 | 103 | 217 | 0 | 309 | -439.0
google-gemma-4-31b-it-fp8:1 | 320 | 81 | 239 | 0 | 243 | -747.0
google-gemma-4-31b-it-fp8:2 | 320 | 78 | 242 | 0 | 234 | -781.0
minimax-minimax-m2.7-fp8:1 | 320 | 71 | 248 | 1 | 214 | -681.0
anthropic-claude-sonnet-4.6:2 | 320 | 68 | 252 | 0 | 204 | -746.0
qwen-qwen3.6-27b:2 | 320 | 64 | 254 | 2 | 194 | -930.0
deepseek-deepseek-v4-flash_nitro:1 | 320 | 64 | 255 | 1 | 193 | -943.0
minimax-minimax-m2.7-fp8:2 | 320 | 47 | 270 | 3 | 144 | -1152.0
x-ai-grok-4.20:2 | 320 | 47 | 273 | 0 | 141 | -1066.0
openai-gpt-oss-120b-fp8:2 | 320 | 19 | 301 | 0 | 57 | -1347.0
openai-gpt-oss-120b-fp8:1 | 320 | 19 | 301 | 0 | 57 | -1367.0
qwen-qwen3.6-35b-a3b-fp8:2 | 320 | 17 | 302 | 1 | 52 | -1410.0
qwen-qwen3.6-35b-a3b-fp8:1 | 320 | 9 | 311 | 0 | 27 | -1433.0
